controller,controller_type,scenario_name,approval_rate_mean,approval_rate_ci_lower,approval_rate_ci_upper,default_rate_mean,default_rate_ci_lower,default_rate_ci_upper,expected_profit_mean,expected_profit_ci_lower,expected_profit_ci_upper,npv_mean,npv_ci_lower,npv_ci_upper,cumulative_reward_mean,cumulative_reward_ci_lower,cumulative_reward_ci_upper,capital_usage_mean_mean,capital_usage_mean_ci_lower,capital_usage_mean_ci_upper,reward_volatility_mean,reward_volatility_ci_lower,reward_volatility_ci_upper,stability_index_mean,stability_index_ci_lower,stability_index_ci_upper,threshold_volatility_mean,threshold_volatility_ci_lower,threshold_volatility_ci_upper,expected_profit_seed_std,cumulative_reward_seed_std
double_dqn,agent,base_market,0.4011201296017892,0.2617749805197832,0.5397656614857065,0.06004748863853047,0.05630319246635614,0.06384501280196485,263056.80946403067,173116.77143954273,348383.9255140737,257973.62560686283,169679.37798188202,341722.1318655594,314908.77838044404,202145.11845185384,421882.7207820706,0.3945190844170501,0.2821664321489528,0.5087790491412538,24144.438705549193,16460.448860086937,31505.474202969097,5.958003094367427e-05,4.346194513859288e-05,7.948835782374682e-05,0.0,0.0,0.0,163995.4489854586,201896.2936494887
double_dqn,agent,class_imbalance_shift,0.39129591726907115,0.2613374941950009,0.5210304503841618,0.062081044057172595,0.05843754081064867,0.06570775665318192,248030.6538497026,170244.99596016042,318488.9785793138,243159.31896862868,166914.44677763895,312246.8570966888,296661.8019597998,201104.752002933,385457.84288247465,0.3766225387267165,0.26664690195180707,0.4801641441169958,22631.658362748884,16121.247401052018,29448.17012277539,6.396379057380367e-05,4.5027165283093657e-05,8.713250048644803e-05,0.0,0.0,0.0,147686.67759344034,181796.01635834642
double_dqn,agent,drift,0.38512775439731245,0.24594960277152855,0.5195631678153996,0.06871124022589736,0.06409130810429205,0.07332238272503268,240280.44545678303,149972.51052993245,320504.7221284288,235438.22219625438,146911.5376861054,314172.3473147275,286364.5757799431,174545.62953820807,384562.2800683808,0.40410436645955583,0.28256611578698004,0.5195424016147107,19542.84538621906,12990.125373940278,26209.092083798012,7.139895879431842e-05,5.2351242152941166e-05,9.504356647566688e-05,0.0,0.0,0.0,157930.7930531566,194674.43111473334
double_dqn,agent,noise,0.4399683525947256,0.3239181474913536,0.5561976447395383,0.05292089673915606,0.05095331431065395,0.05499657650291352,303317.70078638993,227840.55944475875,377543.2507203562,297548.1243023838,223536.8024663101,370308.8791510163,367779.127200374,275942.684151826,460268.56201825704,0.420803750835691,0.3234331647442113,0.519251124391084,28079.335742342326,21256.302791735772,35306.905736817105,4.255592940200366e-05,3.307821489526805e-05,5.243639998322779e-05,0.0,0.0,0.0,138149.8211383845,168453.20022748385
double_dqn,agent,split_policy_dynamics,0.3908123670281711,0.250275944902096,0.5288305836812025,0.06056121235776025,0.05788278493290888,0.06349109820899305,267344.46519253246,170785.6370031268,368378.566186485,262255.33129382523,167551.7208325204,361389.0520421664,319878.3617600246,200909.25817492377,444582.2129266256,0.3982360093263058,0.2788111565662065,0.5142291464689044,22732.09119374672,14777.752601980286,31326.748041386647,7.281868602376875e-05,4.9389188653946907e-05,0.0001047112051677978,0.0,0.0,0.0,185351.88748460723,228793.5885462917
dqn,agent,adverse_stress,0.5552798755619545,0.4299365601170811,0.6951946984524066,0.07727222134505242,0.07472981331298839,0.08074989562409998,303337.727721865,235328.49099460358,371086.78456184425,297046.96094357385,230402.25519883982,363461.9305388177,363614.40262766246,281099.86642918765,445925.89565756556,0.5858398573531554,0.46783232160064675,0.7184489840152198,22959.2559126127,17155.59826420189,28933.68737305846,5.856172304690262e-05,4.036485173427514e-05,8.412094384670541e-05,0.0,0.0,0.0,133065.0138106175,161106.05334109557
dqn,agent,base_market,0.5696402755450417,0.4284606259608348,0.7247045015366547,0.06083804985654249,0.05680154445505888,0.06445127031009798,368498.1668155145,288046.97870304936,457534.14474742435,361355.0727662952,282442.8895056307,448639.0493587124,443854.27974206465,344945.59269677737,552566.8770478679,0.5297552871270582,0.41965915997103515,0.646656964517605,33664.24578299945,26144.111495002868,40875.852101502234,3.952330070917645e-05,2.74337491130556e-05,5.340763400605392e-05,0.0,0.0,0.0,160732.5730663533,195942.31400200273
dqn,agent,class_imbalance_shift,0.5643606480624871,0.42670285194075164,0.7136474709627938,0.0670857970418452,0.061512968522840154,0.07182120745599524,339234.6549549096,262707.5540465499,419941.99840647064,332578.25592978246,257529.44504316643,411727.476410046,407331.7883730228,314045.60837783624,504894.9349312752,0.5140089934259916,0.40554764588603837,0.6338785202425006,31099.01845182665,24260.914234602904,37865.529709059236,3.998171064829154e-05,2.9120648020808396e-05,5.284428427182243e-05,0.0,0.0,0.0,155434.30389946702,189544.3439470524
dqn,agent,drift,0.5556148759970302,0.4171240010033082,0.7080296592592146,0.07080725537204251,0.0663236332345883,0.07455974585397893,332791.0214803585,254537.76913921093,425095.16074763105,326078.1556430293,249368.22056776908,416486.57803839043,399559.05297383555,304540.36586837936,511969.03348045464,0.5470422269580015,0.4361678805136036,0.6721256790758284,28100.884590861086,20616.338751907657,35672.28145085285,5.5904927737144356e-05,3.388392028430538e-05,7.97840271708569e-05,0.0,0.0,0.0,161048.02764143964,196790.70868919848
dqn,agent,noise,0.5648563040187515,0.4611383105686237,0.6838844673227952,0.055479071685264635,0.05092600313868493,0.06020456789353105,376768.2647705223,315323.9398536967,441831.72575087775,369625.0530370806,309318.3335089989,433403.40320816525,457398.0552027324,383847.553767982,535011.2520728606,0.5197277131087478,0.43286905041310875,0.6138599412955603,34598.012085978764,28103.05205644252,41402.591684354455,3.366064637638615e-05,2.577504274564106e-05,4.158179745801403e-05,0.0,0.0,0.0,123180.21148341328,148190.61883316768
